0,0,0,0,0,0,0,0
25,-42.233,33.974,-128.653,-94.68,-42.233,0,0
35,-54.988,20.319,-131.618,-114.358,-54.992,0,0
40,-55.542,19.716,-131.279,-114.602,-55.543,0,0
40.5,-56.591,18.530,-130.592,-115.063,-56.591,0,1
42,-57.092,17.947,-130.244,-115.281,-57.091,0,1
43,-56.591,18.530,-130.592,-115.063,-56.591,0,0
45,-55.360,15.522,-130.680,-133.197,-56.698,0,0
48,-50.772,5.154,-146.181,-160.581,-50.650,0,0
52,-50.137,5.687,-146.650,-82.338,-81.375,0,0
56,-50.772,5.154,-146.181,-160.581,-50.650,0,0
64,-42.233,33.974,-128.653,-94.68,-42.233,0,0
74,0,0,0,0,0,0,0
74.1,0,0,0,0,0,0,0
